Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000001,Blue Cross Blue Shield of Minnesota,MN,Health Plan,3640,2026-07-21,2026,7,Hacking/IT Incident,Network Server,Yes,Archived,0,8.2000136481754335,1,1,0,0,0,0,0,1
HHS-000002,Lake County Health Department and Community Health Center,IL,Healthcare Provider,981,2026-07-17,2026,7,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,6.8895913083544658,0,0,1,0,0,0,0,1
HHS-000003,Erlanger Health,TN,Healthcare Provider,4237,2026-07-01,2026,7,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,0,8.3518467388282449,0,0,1,0,0,0,0,1
HHS-000004,Wisconsin Department of Health Services,WI,Health Plan,8157,2026-07-01,2026,7,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,9.0067543198775031,0,0,1,0,0,0,0,1
HHS-000005,Southeastern Healthcare Solutions,FL,Business Associate,2313,2026-06-23,2026,6,Unauthorized Access/Disclosure,Email,Yes,Archived,0,7.7467329077536222,1,0,1,0,0,0,0,1
HHS-000006,Meridian Health Plan of Illinois,IL,Health Plan,21027,2026-06-19,2026,6,Unauthorized Access/Disclosure,Network Server,No,Archived,0,9.9536101619393378,0,0,1,0,0,0,0,1
HHS-000007,"UnitedHealth Care Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,37384,2026-06-19,2026,6,Hacking/IT Incident,Email,Yes,Archived,0,10.529024833434017,1,1,0,0,0,0,0,1
HHS-000008,Carle Health,IL,Healthcare Provider,1444,2026-06-19,2026,6,Hacking/IT Incident,Email,Yes,Archived,0,7.2758646005465328,1,1,0,0,0,0,0,1
HHS-000009,NYC Health + Hospitals,NY,Healthcare Provider,58778,2026-06-18,2026,6,Unauthorized Access/Disclosure,Other,Yes,Archived,0,10.981539927238877,1,0,1,0,0,0,0,1
HHS-000010,University of Miami,FL,Healthcare Provider,6721,2026-06-17,2026,6,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,Archived,0,8.8131410082850508,0,0,1,0,0,0,0,1
HHS-000011,Gail J May Ltd d/b/a/ Insight Optical,IL,Healthcare Provider,501,2026-06-16,2026,6,Hacking/IT Incident,Network Server,Yes,Archived,0,6.2186001196917289,1,1,0,0,0,0,0,1
HHS-000012,NewYork-Presbyterian Hospital,NY,Healthcare Provider,6909,2026-06-16,2026,6,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,8.8407249167617152,0,0,1,0,0,0,0,1
HHS-000013,"Kentucky MSO, LLC",KY,Healthcare Provider,537,2026-06-13,2026,6,Hacking/IT Incident,Network Server,Yes,Archived,0,6.2878585601617845,1,1,0,0,0,0,0,1
HHS-000014,Trinity Health System,MI,Business Associate,2480,2026-06-10,2026,6,Unauthorized Access/Disclosure,Email,Yes,Archived,0,7.8164169836918012,1,0,1,0,0,0,0,1
HHS-000015,"Private National Mortgage Acceptance Company, LLC Group Health Plan",CA,Health Plan,3972,2026-06-09,2026,6,Hacking/IT Incident,Network Server,Yes,Archived,0,8.2872767558145988,1,1,0,0,0,0,0,1
HHS-000016,JASON R EGBERT OD PC,WA,Healthcare Provider,1225,2026-06-02,2026,6,Hacking/IT Incident,Network Server,Yes,Archived,0,7.111512116496157,1,1,0,0,0,0,0,1
HHS-000017,Area Agency on Aging Pasco-Pinellas Inc,FL,Healthcare Provider,1000,2026-06-02,2026,6,Improper Disposal,Paper/Films,Yes,Archived,0,6.9087547793152204,1,0,0,0,0,1,0,1
HHS-000018,Lincoln National Corporation d/b/a Lincoln Financial,IN,Health Plan,3070,2026-06-02,2026,6,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,8.0297585204408222,0,0,1,0,0,0,0,1
HHS-000019,Wellmark Health Insurance,IA,Health Plan,6666,2026-05-26,2026,5,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,8.8049252626180596,0,0,1,0,0,0,0,1
HHS-000020,Equinix Incorporated Group Health and Welfare Benefit Plan,CA,Health Plan,677,2026-05-22,2026,5,Hacking/IT Incident,Network Server,Yes,Archived,0,6.5191472879403953,1,1,0,0,0,0,0,1
HHS-000021,DentaQuest,MA,Business Associate,3086,2026-05-22,2026,5,Unauthorized Access/Disclosure,Network Server,Yes,Archived,0,8.0349550245021586,1,0,1,0,0,0,0,1
HHS-000022,Connecticut Department of Social Services,CT,Health Plan,22500,2026-05-21,2026,5,Hacking/IT Incident,Network Server,Yes,Archived,0,10.021315031649332,1,1,0,0,0,0,0,1
